total_bill,tip,sex,smoker,day,time,size
18.2,3.63,Male,No,Sun,Dinner,2
57.47,6.36,Male,Yes,Fri,Dinner,6
14.06,1.73,Male,No,Thur,Lunch,2
8.86,1.73,Male,Yes,Thur,Lunch,1
19.71,3.86,Male,No,Sat,Dinner,4
9.24,1.01,Female,No,Thur,Lunch,2
11.48,1.17,Female,No,Sun,Dinner,3
17.58,2.04,Male,Yes,Sat,Dinner,4
28.21,5.63,Male,No,Thur,Lunch,4
19.62,2.32,Female,Yes,Sun,Dinner,6
8.01,1.2,Male,Yes,Sun,Dinner,2
19.52,3.61,Male,No,Thur,Lunch,3
20.09,2.05,Female,No,Thur,Lunch,2
20.22,3.24,Male,No,Sun,Dinner,2
32.86,4.2,Female,No,Thur,Lunch,4
30.65,5.71,Male,No,Thur,Lunch,2
22.3,2.86,Female,No,Sat,Dinner,2
45.69,7.71,Male,Yes,Thur,Dinner,2
11.79,1.97,Female,Yes,Sat,Dinner,2
17.56,2.14,Male,Yes,Sun,Dinner,5
20.59,2.13,Male,Yes,Sun,Dinner,2
21.46,3.02,Male,No,Sat,Dinner,2
11.88,1.53,Male,Yes,Sat,Dinner,4
21.63,3.91,Male,Yes,Thur,Lunch,2
11.02,1.98,Male,No,Thur,Dinner,2
16.49,2.4,Male,Yes,Sat,Dinner,2
22.69,3.65,Male,No,Thur,Dinner,2
12.62,2.02,Male,No,Sun,Dinner,2
24.67,4.51,Female,Yes,Sun,Dinner,4
15.48,2.21,Female,Yes,Thur,Dinner,2
18.68,2.38,Female,No,Sun,Dinner,4
26.37,3.34,Female,Yes,Sun,Dinner,3
20.96,3.22,Male,No,Thur,Lunch,3
24.44,3.54,Male,No,Sat,Dinner,1
25.73,3.71,Male,Yes,Thur,Lunch,2
20.83,2.27,Female,No,Sun,Dinner,2
25.0,4.3,Female,Yes,Sun,Dinner,4
16.38,1.99,Male,No,Sun,Dinner,2
26.24,3.14,Male,No,Sat,Dinner,2
19.76,2.79,Male,No,Sat,Dinner,2
35.34,4.34,Male,No,Sat,Dinner,2
22.88,3.62,Male,No,Thur,Lunch,2
17.3,2.37,Male,Yes,Thur,Lunch,2
26.43,3.83,Female,No,Sun,Dinner,2
35.97,5.53,Male,Yes,Sat,Dinner,2
17.92,2.16,Female,No,Sat,Dinner,2
16.74,1.93,Female,No,Fri,Lunch,3
6.95,1.31,Female,No,Fri,Lunch,2
22.86,3.28,Male,No,Sun,Dinner,2
18.99,2.68,Male,No,Thur,Lunch,2
26.38,2.73,Male,No,Sat,Dinner,2
26.61,3.99,Male,No,Sun,Dinner,4
12.08,1.88,Male,No,Sun,Dinner,2
30.59,4.77,Female,No,Sat,Dinner,3
15.8,2.7,Female,No,Sat,Dinner,4
17.96,2.11,Female,No,Sun,Dinner,3
8.18,1.02,Female,Yes,Thur,Lunch,2
24.72,4.48,Male,No,Sun,Dinner,2
13.69,2.67,Male,Yes,Sat,Dinner,3
16.81,1.91,Male,No,Sun,Dinner,2
13.2,1.98,Male,Yes,Sun,Dinner,4
31.66,3.84,Female,Yes,Sat,Dinner,3
18.57,1.97,Male,Yes,Sun,Dinner,3
12.71,1.68,Male,No,Sat,Dinner,2
13.05,1.49,Male,Yes,Sun,Dinner,3
29.57,5.06,Male,Yes,Sat,Dinner,3
15.24,2.34,Male,Yes,Sun,Dinner,4
17.8,2.04,Female,No,Thur,Lunch,2
21.99,2.22,Male,No,Thur,Dinner,2
19.08,3.45,Male,No,Sun,Dinner,2
9.9,1.16,Male,No,Sat,Dinner,2
27.51,4.42,Male,Yes,Sun,Dinner,2
19.64,2.63,Male,No,Sat,Dinner,4
24.33,3.86,Female,No,Sun,Dinner,2
28.32,3.73,Male,No,Sat,Dinner,4
9.06,0.98,Male,No,Sat,Dinner,1
28.43,3.48,Male,No,Fri,Lunch,2
